,States,Years,Quarter,Transaction_type,Transaction_count,Transaction_amount
60,Assam,2023,2,Insurance,16475,28368139.0
61,Assam,2023,3,Insurance,22593,35618158.0
62,Assam,2023,4,Insurance,23168,38731734.0
63,Assam,2024,1,Insurance,33097,48107248.0
64,Bihar,2020,2,Insurance,2816,595621.0
65,Bihar,2020,3,Insurance,9733,2161102.0
66,Bihar,2020,4,Insurance,9913,7860932.0
67,Bihar,2021,1,Insurance,12554,8796619.0
68,Bihar,2021,2,Insurance,14301,13301581.0
69,Bihar,2021,3,Insurance,18030,18234941.0
70,Bihar,2021,4,Insurance,22456,27313813.0
71,Bihar,2022,1,Insurance,20253,27755736.0
72,Bihar,2022,2,Insurance,21892,28212833.0
73,Bihar,2022,3,Insurance,28511,34704251.0
74,Bihar,2022,4,Insurance,33895,43914519.0
75,Bihar,2023,1,Insurance,26929,38746711.0
76,Bihar,2023,2,Insurance,29212,40354886.0
77,Bihar,2023,3,Insurance,36550,45832355.0
78,Bihar,2023,4,Insurance,41447,57624322.0
79,Bihar,2024,1,Insurance,51592,63844442.0
80,Chandigarh,2020,2,Insurance,149,29537.0
81,Chandigarh,2020,3,Insurance,264,70969.0
82,Chandigarh,2020,4,Insurance,200,153341.0
83,Chandigarh,2021,1,Insurance,338,238576.0
84,Chandigarh,2021,2,Insurance,378,310943.0
85,Chandigarh,2021,3,Insurance,494,469634.0
86,Chandigarh,2021,4,Insurance,710,835813.0
87,Chandigarh,2022,1,Insurance,792,1150932.0
88,Chandigarh,2022,2,Insurance,1330,1874959.0
89,Chandigarh,2022,3,Insurance,1533,1998439.0
90,Chandigarh,2022,4,Insurance,1403,2024528.0
91,Chandigarh,2023,1,Insurance,1520,2415574.0
92,Chandigarh,2023,2,Insurance,1704,2501107.0
93,Chandigarh,2023,3,Insurance,1883,2660630.0
94,Chandigarh,2023,4,Insurance,1767,3053934.0
95,Chandigarh,2024,1,Insurance,1730,3143984.0
96,Chhattisgarh,2020,2,Insurance,1346,279005.0
97,Chhattisgarh,2020,3,Insurance,4702,1393656.0
98,Chhattisgarh,2020,4,Insurance,3757,2249901.0
99,Chhattisgarh,2021,1,Insurance,4712,2620468.0
100,Chhattisgarh,2021,2,Insurance,5055,3813417.0
101,Chhattisgarh,2021,3,Insurance,4676,3568837.0
102,Chhattisgarh,2021,4,Insurance,6029,8229039.0
103,Chhattisgarh,2022,1,Insurance,6612,10139190.0
104,Chhattisgarh,2022,2,Insurance,7008,10119964.0
105,Chhattisgarh,2022,3,Insurance,8849,12119470.0
106,Chhattisgarh,2022,4,Insurance,11994,18137856.0
107,Chhattisgarh,2023,1,Insurance,10460,16577191.0
108,Chhattisgarh,2023,2,Insurance,10514,16389610.0
109,Chhattisgarh,2023,3,Insurance,11927,17838382.0
110,Chhattisgarh,2023,4,Insurance,17300,29704673.0
111,Chhattisgarh,2024,1,Insurance,19579,30083259.0
112,Dadra and Nagar Haveli and Daman and Diu,2020,2,Insurance,651,101029.0
113,Dadra and Nagar Haveli and Daman and Diu,2020,3,Insurance,257,65504.0
114,Dadra and Nagar Haveli and Daman and Diu,2020,4,Insurance,232,149513.0
115,Dadra and Nagar Haveli and Daman and Diu,2021,1,Insurance,467,285691.0
116,Dadra and Nagar Haveli and Daman and Diu,2021,2,Insurance,368,275638.0
117,Dadra and Nagar Haveli and Daman and Diu,2021,3,Insurance,360,273596.0
118,Dadra and Nagar Haveli and Daman and Diu,2021,4,Insurance,421,425384.0
119,Dadra and Nagar Haveli and Daman and Diu,2022,1,Insurance,493,720741.0
120,Dadra and Nagar Haveli and Daman and Diu,2022,2,Insurance,438,686857.0
121,Dadra and Nagar Haveli and Daman and Diu,2022,3,Insurance,707,983776.0
122,Dadra and Nagar Haveli and Daman and Diu,2022,4,Insurance,871,1272628.0
123,Dadra and Nagar Haveli and Daman and Diu,2023,1,Insurance,799,1215168.0
124,Dadra and Nagar Haveli and Daman and Diu,2023,2,Insurance,694,1058753.0
125,Dadra and Nagar Haveli and Daman and Diu,2023,3,Insurance,969,1333103.0
126,Dadra and Nagar Haveli and Daman and Diu,2023,4,Insurance,1207,1973867.0
127,Dadra and Nagar Haveli and Daman and Diu,2024,1,Insurance,1295,1908509.0
128,Delhi,2020,2,Insurance,11716,1897480.0
129,Delhi,2020,3,Insurance,7588,1927285.0
130,Delhi,2020,4,Insurance,9725,8045442.0
131,Delhi,2021,1,Insurance,12822,9655261.0
132,Delhi,2021,2,Insurance,13292,10840929.0
133,Delhi,2021,3,Insurance,16679,15007079.0
134,Delhi,2021,4,Insurance,34251,36578331.0
135,Delhi,2022,1,Insurance,28232,35442069.0
136,Delhi,2022,2,Insurance,26378,31787281.0
137,Delhi,2022,3,Insurance,35944,41570160.0
138,Delhi,2022,4,Insurance,48908,60603173.0
139,Delhi,2023,1,Insurance,45821,61040038.0
140,Delhi,2023,2,Insurance,41358,54951108.0
141,Delhi,2023,3,Insurance,47113,58878500.0
142,Delhi,2023,4,Insurance,56336,77332401.0
143,Delhi,2024,1,Insurance,53050,76232346.0
144,Goa,2020,2,Insurance,341,71100.0
145,Goa,2020,3,Insurance,683,196864.0
146,Goa,2020,4,Insurance,614,682364.0
147,Goa,2021,1,Insurance,879,827384.0
148,Goa,2021,2,Insurance,1016,1028339.0
149,Goa,2021,3,Insurance,1214,1385986.0
150,Goa,2021,4,Insurance,2087,2737316.0
151,Goa,2022,1,Insurance,2634,3865245.0
152,Goa,2022,2,Insurance,3524,5093510.0
153,Goa,2022,3,Insurance,3157,4142108.0
154,Goa,2022,4,Insurance,4388,6190669.0
155,Goa,2023,1,Insurance,4097,5859549.0
156,Goa,2023,2,Insurance,4166,5930801.0
157,Goa,2023,3,Insurance,3927,5646054.0
158,Goa,2023,4,Insurance,4883,7411001.0
159,Goa,2024,1,Insurance,5225,7528093.0
160,Gujarat,2020,2,Insurance,7697,1430591.0
161,Gujarat,2020,3,Insurance,12525,3335812.0
162,Gujarat,2020,4,Insurance,9990,6055037.0
163,Gujarat,2021,1,Insurance,12673,7288104.0
164,Gujarat,2021,2,Insurance,14676,10263998.0
165,Gujarat,2021,3,Insurance,15348,12341903.0
166,Gujarat,2021,4,Insurance,19142,23282921.0
167,Gujarat,2022,1,Insurance,22221,29953433.0
168,Gujarat,2022,2,Insurance,25381,32090965.0
169,Gujarat,2022,3,Insurance,31302,37557227.0
170,Gujarat,2022,4,Insurance,36418,50629325.0
171,Gujarat,2023,1,Insurance,32600,46937694.0
172,Gujarat,2023,2,Insurance,32484,46254095.0
173,Gujarat,2023,3,Insurance,51049,65768085.0
174,Gujarat,2023,4,Insurance,41128,66735446.0
175,Gujarat,2024,1,Insurance,44665,62633910.0
176,Haryana,2020,2,Insurance,6321,1179814.0
177,Haryana,2020,3,Insurance,7139,1884868.0
178,Haryana,2020,4,Insurance,8283,5974278.0
179,Haryana,2021,1,Insurance,11038,7297880.0
180,Haryana,2021,2,Insurance,12516,11272453.0
181,Haryana,2021,3,Insurance,14163,13215898.0
182,Haryana,2021,4,Insurance,19489,25885838.0
183,Haryana,2022,1,Insurance,22783,32526943.0
184,Haryana,2022,2,Insurance,25352,33759068.0
185,Haryana,2022,3,Insurance,35346,45402800.0
186,Haryana,2022,4,Insurance,37971,56627115.0
187,Haryana,2023,1,Insurance,37287,61127194.0
188,Haryana,2023,2,Insurance,40710,62186066.0
189,Haryana,2023,3,Insurance,42815,61782311.0
190,Haryana,2023,4,Insurance,47506,80747159.0
191,Haryana,2024,1,Insurance,50391,81816509.0
192,Himachal Pradesh,2020,2,Insurance,392,77936.0
193,Himachal Pradesh,2020,3,Insurance,531,165559.0
194,Himachal Pradesh,2020,4,Insurance,710,630966.0
195,Himachal Pradesh,2021,1,Insurance,1064,906492.0
196,Himachal Pradesh,2021,2,Insurance,1210,1402338.0
197,Himachal Pradesh,2021,3,Insurance,1759,2444545.0
198,Himachal Pradesh,2021,4,Insurance,2474,4667661.0
199,Himachal Pradesh,2022,1,Insurance,2768,5234739.0
200,Himachal Pradesh,2022,2,Insurance,2831,5371078.0
201,Himachal Pradesh,2022,3,Insurance,3641,6161692.0
202,Himachal Pradesh,2022,4,Insurance,4565,9060436.0
203,Himachal Pradesh,2023,1,Insurance,3909,7826133.0
204,Himachal Pradesh,2023,2,Insurance,4197,8499425.0
205,Himachal Pradesh,2023,3,Insurance,3935,7869767.0
206,Himachal Pradesh,2023,4,Insurance,5211,11898824.0
207,Himachal Pradesh,2024,1,Insurance,5430,10433254.0
208,Jammu & Kashmir,2020,2,Insurance,206,48484.0
209,Jammu & Kashmir,2020,3,Insurance,441,133339.0
210,Jammu & Kashmir,2020,4,Insurance,647,734861.0
211,Jammu & Kashmir,2021,1,Insurance,1105,1546288.0
212,Jammu & Kashmir,2021,2,Insurance,1197,1832089.0
213,Jammu & Kashmir,2021,3,Insurance,1452,2139133.0
214,Jammu & Kashmir,2021,4,Insurance,3113,5223317.0
215,Jammu & Kashmir,2022,1,Insurance,3584,7244267.0
216,Jammu & Kashmir,2022,2,Insurance,4071,7729792.0
217,Jammu & Kashmir,2022,3,Insurance,4794,8281826.0
218,Jammu & Kashmir,2022,4,Insurance,5031,10111183.0
219,Jammu & Kashmir,2023,1,Insurance,4555,10275877.0
220,Jammu & Kashmir,2023,2,Insurance,5262,10974839.0
221,Jammu & Kashmir,2023,3,Insurance,5453,10975874.0
222,Jammu & Kashmir,2023,4,Insurance,6264,13932309.0
223,Jammu & Kashmir,2024,1,Insurance,7313,14695182.0
224,Jharkhand,2020,2,Insurance,2063,405031.0
225,Jharkhand,2020,3,Insurance,5368,1349934.0
226,Jharkhand,2020,4,Insurance,3659,2857024.0
227,Jharkhand,2021,1,Insurance,4879,3274851.0
228,Jharkhand,2021,2,Insurance,5180,5084230.0
229,Jharkhand,2021,3,Insurance,6794,7046048.0
230,Jharkhand,2021,4,Insurance,8465,11190423.0
231,Jharkhand,2022,1,Insurance,9373,13819466.0
232,Jharkhand,2022,2,Insurance,9477,13464840.0
233,Jharkhand,2022,3,Insurance,14388,18156857.0
234,Jharkhand,2022,4,Insurance,16779,23147805.0
235,Jharkhand,2023,1,Insurance,16108,23823406.0
236,Jharkhand,2023,2,Insurance,16662,23216215.0
237,Jharkhand,2023,3,Insurance,19478,25165702.0
238,Jharkhand,2023,4,Insurance,22398,33484644.0
239,Jharkhand,2024,1,Insurance,24824,34332990.0
240,Karnataka,2020,2,Insurance,27358,4794150.0
241,Karnataka,2020,3,Insurance,53701,12407394.0
242,Karnataka,2020,4,Insurance,31747,26814968.0
243,Karnataka,2021,1,Insurance,37595,30183325.0
244,Karnataka,2021,2,Insurance,40969,39501006.0
245,Karnataka,2021,3,Insurance,47468,48078366.0
246,Karnataka,2021,4,Insurance,74436,90723288.0
247,Karnataka,2022,1,Insurance,95640,130733580.0
248,Karnataka,2022,2,Insurance,93385,123228632.0
249,Karnataka,2022,3,Insurance,110273,144605784.0
250,Karnataka,2022,4,Insurance,133971,185063287.0
251,Karnataka,2023,1,Insurance,127376,186543426.0
252,Karnataka,2023,2,Insurance,117232,175704013.0
253,Karnataka,2023,3,Insurance,139699,199448538.0
254,Karnataka,2023,4,Insurance,156076,248056311.0
255,Karnataka,2024,1,Insurance,169357,264708700.0
256,Kerala,2020,2,Insurance,1588,360216.0
257,Kerala,2020,3,Insurance,8811,2830361.0
258,Kerala,2020,4,Insurance,5479,4445525.0
259,Kerala,2021,1,Insurance,5731,5040506.0
260,Kerala,2021,2,Insurance,9530,9676588.0
261,Kerala,2021,3,Insurance,10926,13255646.0
262,Kerala,2021,4,Insurance,19199,31260319.0
263,Kerala,2022,1,Insurance,37110,64172190.0
264,Kerala,2022,2,Insurance,35667,59920203.0
265,Kerala,2022,3,Insurance,54587,85390924.0
266,Kerala,2022,4,Insurance,65563,103982997.0
267,Kerala,2023,1,Insurance,62377,101786828.0
268,Kerala,2023,2,Insurance,61032,100620604.0
269,Kerala,2023,3,Insurance,66059,110021582.0
270,Kerala,2023,4,Insurance,73543,121905046.0
271,Kerala,2024,1,Insurance,73106,115101791.0
272,Ladakh,2020,2,Insurance,14,2538.0
273,Ladakh,2020,3,Insurance,33,10260.0
274,Ladakh,2020,4,Insurance,27,34206.0
275,Ladakh,2021,1,Insurance,32,34530.0
276,Ladakh,2021,2,Insurance,46,86251.0
277,Ladakh,2021,3,Insurance,192,174052.0
278,Ladakh,2021,4,Insurance,76,195966.0
279,Ladakh,2022,1,Insurance,75,193935.0
280,Ladakh,2022,2,Insurance,113,269446.0
281,Ladakh,2022,3,Insurance,137,369742.0
282,Ladakh,2022,4,Insurance,162,410091.0
283,Ladakh,2023,1,Insurance,161,495736.0
284,Ladakh,2023,2,Insurance,215,635831.0
285,Ladakh,2023,3,Insurance,232,649027.0
286,Ladakh,2023,4,Insurance,242,718967.0
287,Ladakh,2024,1,Insurance,291,614435.0
288,Lakshadweep,2020,3,Insurance,4,1199.0
289,Lakshadweep,2021,1,Insurance,4,5225.0
290,Lakshadweep,2021,2,Insurance,5,6962.0
291,Lakshadweep,2021,3,Insurance,19,16034.0
292,Lakshadweep,2021,4,Insurance,11,17096.0
293,Lakshadweep,2022,1,Insurance,27,34664.0
294,Lakshadweep,2022,2,Insurance,18,27463.0
295,Lakshadweep,2022,3,Insurance,38,41504.0
296,Lakshadweep,2022,4,Insurance,15,27135.0
297,Lakshadweep,2023,1,Insurance,26,30199.0
298,Lakshadweep,2023,2,Insurance,15,38384.0
299,Lakshadweep,2023,3,Insurance,12,12407.0
300,Lakshadweep,2023,4,Insurance,53,78346.0
301,Lakshadweep,2024,1,Insurance,15,12935.0
302,Madhya Pradesh,2020,2,Insurance,6283,1198701.0
303,Madhya Pradesh,2020,3,Insurance,14476,3496126.0
304,Madhya Pradesh,2020,4,Insurance,10653,4897124.0
305,Madhya Pradesh,2021,1,Insurance,14427,5567927.0
306,Madhya Pradesh,2021,2,Insurance,14803,9787391.0
307,Madhya Pradesh,2021,3,Insurance,11990,7806258.0
308,Madhya Pradesh,2021,4,Insurance,15069,17524432.0
309,Madhya Pradesh,2022,1,Insurance,13791,19901462.0
310,Madhya Pradesh,2022,2,Insurance,14629,20159098.0
311,Madhya Pradesh,2022,3,Insurance,22733,29185118.0
312,Madhya Pradesh,2022,4,Insurance,29234,42712883.0
313,Madhya Pradesh,2023,1,Insurance,26393,45135679.0
314,Madhya Pradesh,2023,2,Insurance,27027,44871764.0
315,Madhya Pradesh,2023,3,Insurance,29300,46963348.0
316,Madhya Pradesh,2023,4,Insurance,40784,73801070.0
317,Madhya Pradesh,2024,1,Insurance,51223,85215982.0
318,Maharashtra,2020,2,Insurance,39836,6879717.0
319,Maharashtra,2020,3,Insurance,71662,19230156.0
320,Maharashtra,2020,4,Insurance,44798,27113814.0
321,Maharashtra,2021,1,Insurance,55792,33137753.0
322,Maharashtra,2021,2,Insurance,70381,46763103.0
323,Maharashtra,2021,3,Insurance,52268,41313307.0
324,Maharashtra,2021,4,Insurance,82423,93262227.0
325,Maharashtra,2022,1,Insurance,88015,117411928.0
326,Maharashtra,2022,2,Insurance,80935,104603934.0
327,Maharashtra,2022,3,Insurance,90958,113835208.0
328,Maharashtra,2022,4,Insurance,125900,174915648.0
329,Maharashtra,2023,1,Insurance,112174,166596248.0
330,Maharashtra,2023,2,Insurance,102754,157303399.0
331,Maharashtra,2023,3,Insurance,104872,151171882.0
332,Maharashtra,2023,4,Insurance,136968,217657114.0
333,Maharashtra,2024,1,Insurance,149016,224725389.0
334,Manipur,2020,2,Insurance,55,12554.0
335,Manipur,2020,3,Insurance,134,45164.0
336,Manipur,2020,4,Insurance,90,49057.0
337,Manipur,2021,1,Insurance,136,72254.0
338,Manipur,2021,2,Insurance,127,81332.0
339,Manipur,2021,3,Insurance,111,133016.0
340,Manipur,2021,4,Insurance,145,271789.0
341,Manipur,2022,1,Insurance,177,517854.0
342,Manipur,2022,2,Insurance,218,553649.0
343,Manipur,2022,3,Insurance,200,403213.0
344,Manipur,2022,4,Insurance,271,620655.0
345,Manipur,2023,1,Insurance,222,632084.0
346,Manipur,2023,2,Insurance,123,341671.0
347,Manipur,2023,3,Insurance,76,193021.0
348,Manipur,2023,4,Insurance,225,476626.0
349,Manipur,2024,1,Insurance,385,685052.0
350,Meghalaya,2020,2,Insurance,41,8829.0
351,Meghalaya,2020,3,Insurance,112,33615.0
352,Meghalaya,2020,4,Insurance,92,71029.0
353,Meghalaya,2021,1,Insurance,107,128776.0
354,Meghalaya,2021,2,Insurance,139,148434.0
355,Meghalaya,2021,3,Insurance,139,214554.0
356,Meghalaya,2021,4,Insurance,263,451612.0
357,Meghalaya,2022,1,Insurance,337,729211.0
358,Meghalaya,2022,2,Insurance,379,789094.0
359,Meghalaya,2022,3,Insurance,600,1039491.0
360,Meghalaya,2022,4,Insurance,627,1189529.0
361,Meghalaya,2023,1,Insurance,562,1187523.0
362,Meghalaya,2023,2,Insurance,730,1551577.0
363,Meghalaya,2023,3,Insurance,809,1728076.0
364,Meghalaya,2023,4,Insurance,806,1843364.0
365,Meghalaya,2024,1,Insurance,1030,1987107.0
366,Mizoram,2020,2,Insurance,31,7322.0
367,Mizoram,2020,3,Insurance,74,24691.0
368,Mizoram,2020,4,Insurance,81,119124.0
369,Mizoram,2021,1,Insurance,415,302841.0
370,Mizoram,2021,2,Insurance,187,124805.0
371,Mizoram,2021,3,Insurance,81,83641.0
372,Mizoram,2021,4,Insurance,100,175847.0
373,Mizoram,2022,1,Insurance,85,189428.0
374,Mizoram,2022,2,Insurance,76,115090.0
375,Mizoram,2022,3,Insurance,310,471306.0
376,Mizoram,2022,4,Insurance,350,612551.0
377,Mizoram,2023,1,Insurance,171,326688.0
378,Mizoram,2023,2,Insurance,119,232928.0
379,Mizoram,2023,3,Insurance,166,271799.0
380,Mizoram,2023,4,Insurance,312,557950.0
381,Mizoram,2024,1,Insurance,277,427693.0
382,Nagaland,2020,2,Insurance,41,9791.0
383,Nagaland,2020,3,Insurance,89,20798.0
384,Nagaland,2020,4,Insurance,62,38836.0
385,Nagaland,2021,1,Insurance,79,42973.0
386,Nagaland,2021,2,Insurance,85,139479.0
387,Nagaland,2021,3,Insurance,91,123643.0
388,Nagaland,2021,4,Insurance,183,341424.0
389,Nagaland,2022,1,Insurance,242,529223.0
390,Nagaland,2022,2,Insurance,186,380878.0
391,Nagaland,2022,3,Insurance,210,439669.0
392,Nagaland,2022,4,Insurance,367,700864.0
393,Nagaland,2023,1,Insurance,320,704957.0
394,Nagaland,2023,2,Insurance,269,628890.0
395,Nagaland,2023,3,Insurance,268,632287.0
396,Nagaland,2023,4,Insurance,331,822973.0
397,Nagaland,2024,1,Insurance,526,925684.0
398,Odisha,2020,2,Insurance,2981,615193.0
399,Odisha,2020,3,Insurance,10955,2640191.0
400,Odisha,2020,4,Insurance,7526,4208701.0
401,Odisha,2021,1,Insurance,8236,4383330.0
402,Odisha,2021,2,Insurance,7942,5832924.0
403,Odisha,2021,3,Insurance,7967,6008686.0
404,Odisha,2021,4,Insurance,9093,10941626.0
405,Odisha,2022,1,Insurance,9627,14539309.0
406,Odisha,2022,2,Insurance,12371,16631095.0
407,Odisha,2022,3,Insurance,18898,23308531.0
408,Odisha,2022,4,Insurance,24538,33565401.0
409,Odisha,2023,1,Insurance,18899,29360555.0
410,Odisha,2023,2,Insurance,22163,31307110.0
411,Odisha,2023,3,Insurance,20263,29008350.0
412,Odisha,2023,4,Insurance,25065,39753392.0
413,Odisha,2024,1,Insurance,27977,40032495.0
414,Puducherry,2020,2,Insurance,112,22251.0
415,Puducherry,2020,3,Insurance,191,58399.0
416,Puducherry,2020,4,Insurance,234,197955.0
417,Puducherry,2021,1,Insurance,372,351827.0
418,Puducherry,2021,2,Insurance,526,508277.0
419,Puducherry,2021,3,Insurance,561,556442.0
420,Puducherry,2021,4,Insurance,786,946607.0
421,Puducherry,2022,1,Insurance,1199,1663404.0
422,Puducherry,2022,2,Insurance,1156,1597786.0
423,Puducherry,2022,3,Insurance,1585,2025529.0
424,Puducherry,2022,4,Insurance,2331,2693130.0
425,Puducherry,2023,1,Insurance,1955,2593091.0
426,Puducherry,2023,2,Insurance,1809,2614006.0
427,Puducherry,2023,3,Insurance,2232,2891647.0
428,Puducherry,2023,4,Insurance,2447,3419395.0
429,Puducherry,2024,1,Insurance,2702,3793554.0
430,Punjab,2020,2,Insurance,2036,399452.0
431,Punjab,2020,3,Insurance,2488,684753.0
432,Punjab,2020,4,Insurance,2451,1884291.0
433,Punjab,2021,1,Insurance,3783,2558380.0
434,Punjab,2021,2,Insurance,4047,3768919.0
435,Punjab,2021,3,Insurance,4887,5271559.0
436,Punjab,2021,4,Insurance,6638,9912828.0
437,Punjab,2022,1,Insurance,7475,13155682.0
438,Punjab,2022,2,Insurance,9175,15465367.0
439,Punjab,2022,3,Insurance,12370,19381895.0
440,Punjab,2022,4,Insurance,12187,21727831.0
441,Punjab,2023,1,Insurance,10816,23330966.0
442,Punjab,2023,2,Insurance,13187,24998175.0
443,Punjab,2023,3,Insurance,14048,24461488.0
444,Punjab,2023,4,Insurance,13777,28715828.0
445,Punjab,2024,1,Insurance,14729,28213940.0
446,Rajasthan,2020,2,Insurance,5373,1095933.0
447,Rajasthan,2020,3,Insurance,15235,3758527.0
448,Rajasthan,2020,4,Insurance,12509,6471573.0
449,Rajasthan,2021,1,Insurance,17800,8074225.0
450,Rajasthan,2021,2,Insurance,18281,14357445.0
451,Rajasthan,2021,3,Insurance,16643,12793862.0
452,Rajasthan,2021,4,Insurance,19375,24455262.0
453,Rajasthan,2022,1,Insurance,21517,31576932.0
454,Rajasthan,2022,2,Insurance,24333,33748931.0
455,Rajasthan,2022,3,Insurance,33975,45565544.0
456,Rajasthan,2022,4,Insurance,40926,60792838.0
457,Rajasthan,2023,1,Insurance,34415,61441050.0
458,Rajasthan,2023,2,Insurance,37170,61301449.0
459,Rajasthan,2023,3,Insurance,39960,64328784.0
460,Rajasthan,2023,4,Insurance,49741,94701652.0
461,Rajasthan,2024,1,Insurance,59127,102926410.0
462,Sikkim,2020,2,Insurance,21,4789.0
463,Sikkim,2020,3,Insurance,94,28000.0
464,Sikkim,2020,4,Insurance,67,70214.0
465,Sikkim,2021,1,Insurance,122,111777.0
466,Sikkim,2021,2,Insurance,93,122064.0
467,Sikkim,2021,3,Insurance,106,140552.0
468,Sikkim,2021,4,Insurance,195,503532.0
469,Sikkim,2022,1,Insurance,239,685987.0
470,Sikkim,2022,2,Insurance,160,383709.0
471,Sikkim,2022,3,Insurance,243,474940.0
472,Sikkim,2022,4,Insurance,306,667214.0
473,Sikkim,2023,1,Insurance,260,688605.0
474,Sikkim,2023,2,Insurance,270,628191.0
475,Sikkim,2023,3,Insurance,251,698251.0
476,Sikkim,2023,4,Insurance,324,793745.0
477,Sikkim,2024,1,Insurance,400,880182.0
478,Tamil Nadu,2020,2,Insurance,5473,1075552.0
479,Tamil Nadu,2020,3,Insurance,8026,2257373.0
480,Tamil Nadu,2020,4,Insurance,10290,8993575.0
481,Tamil Nadu,2021,1,Insurance,14406,11180849.0
482,Tamil Nadu,2021,2,Insurance,17682,16444344.0
483,Tamil Nadu,2021,3,Insurance,23107,23402918.0
484,Tamil Nadu,2021,4,Insurance,33037,42184290.0
485,Tamil Nadu,2022,1,Insurance,47621,64969045.0
486,Tamil Nadu,2022,2,Insurance,46714,61835120.0
487,Tamil Nadu,2022,3,Insurance,64356,79747520.0
488,Tamil Nadu,2022,4,Insurance,125491,146457790.0
489,Tamil Nadu,2023,1,Insurance,90690,116710222.0
490,Tamil Nadu,2023,2,Insurance,79698,105328191.0
491,Tamil Nadu,2023,3,Insurance,91069,114625593.0
492,Tamil Nadu,2023,4,Insurance,104871,139433796.0
493,Tamil Nadu,2024,1,Insurance,111521,148976175.0
494,Telangana,2020,2,Insurance,19003,3419453.0
495,Telangana,2020,3,Insurance,34395,8406543.0
496,Telangana,2020,4,Insurance,20961,11339099.0
497,Telangana,2021,1,Insurance,28298,14810947.0
498,Telangana,2021,2,Insurance,28870,20935651.0
499,Telangana,2021,3,Insurance,27080,20925217.0
500,Telangana,2021,4,Insurance,34848,38845492.0
501,Telangana,2022,1,Insurance,36325,51942016.0
